id,title,type,release_year,age_certification,genres,imdb_id,imdb_score
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,"['scifi', 'action', 'drama', 'fantasy', 'animation']",tt0169858,8
tm192199,Spawn,MOVIE,1997,PG-13,"['fantasy', 'horror', 'scifi', 'thriller', 'action', 'drama']",tt0120177,5.2
tm184205,Dennis the Menace,MOVIE,1993,PG,"['comedy', 'family']",tt0106701,5.6
tm12499,The Net,MOVIE,1995,PG-13,"['thriller', 'action', 'crime', 'drama']",tt0113957,5.9
tm192431,The Devil's Own,MOVIE,1997,R,"['thriller', 'drama', 'action', 'crime', 'european']",tt0962637,6.2
tm56033,Croupier,MOVIE,1998,R,"['thriller', 'european', 'crime', 'drama']",tt0159382,7
tm190486,Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,"['fantasy', 'scifi', 'action', 'comedy', 'family']",tt0108308,4.7
tm61103,The General's Daughter,MOVIE,1999,R,"['drama', 'crime', 'thriller']",tt0144214,6.4
tm117488,The Next Karate Kid,MOVIE,1994,PG,"['drama', 'family', 'romance', 'sport', 'action']",tt0110657,4.5
tm55732,I Still Know What You Did Last Summer,MOVIE,1998,R,"['thriller', 'horror']",tt0130018,4.7
tm191431,Double Team,MOVIE,1997,R,"['scifi', 'action', 'comedy', 'thriller']",tt0119013,4.7
tm17721,Under Suspicion,MOVIE,2000,R,"['thriller', 'crime', 'drama', 'european']",tt0164212,6.5
ts20939,Moesha,SHOW,1996,TV-PG,"['drama', 'comedy', 'family']",tt0115275,5.7
ts21693,"Sister, Sister",SHOW,1994,TV-PG,"['comedy', 'drama', 'family']",tt0108927,6.2
ts22286,Cardcaptor Sakura,SHOW,1998,TV-Y7,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",tt0221735,8
tm190811,Geronimo: An American Legend,MOVIE,1993,PG-13,"['western', 'drama', 'history']",tt0107004,6.5
tm107659,The Mirror Has Two Faces,MOVIE,1996,PG-13,"['romance', 'comedy', 'drama']",tt0117057,6.6
ts21581,Girlfriends,SHOW,2000,TV-PG,"['comedy', 'drama']",tt0247102,7.2
tm7135,Bill Hicks: One Night Stand,MOVIE,1991,NC-17,['comedy'],,
tm7073,Knight Rider 2000,MOVIE,1991,G,"['action', 'scifi']",tt0102227,4.5
tm63514,The Last Days,MOVIE,1998,PG-13,"['drama', 'documentation', 'war']",tt0174852,7.9
ts20918,The Parkers,SHOW,1999,TV-PG,['comedy'],tt0200353,6.8
tm10811,Heavy,MOVIE,1995,R,"['romance', 'drama']",tt0113280,6.8
tm188970,Bill Hicks: Revelations,MOVIE,1993,,"['comedy', 'documentation']",tt0152183,8.5
tm188606,Sankofa,MOVIE,1993,,"['drama', 'european']",tt0108041,7
tm128073,Bill Hicks: Relentless,MOVIE,1992,,['comedy'],,
ts18465,Dale's Supermarket Sweep,SHOW,1993,TV-G,[],tt0962853,7.1
tm64817,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,G,"['comedy', 'documentation']",tt0500140,7.9
tm320211,Children of God,MOVIE,1994,,['documentation'],tt6051792,6.4
tm189171,Wild Tango,MOVIE,1993,R,"['drama', 'music', 'romance']",tt0108291,6.7
tm67635,Kuch Kuch Hota Hai,MOVIE,1998,G,"['drama', 'romance', 'comedy']",tt0172684,7.6
ts22080,Oggy and the Cockroaches,SHOW,1999,TV-Y7,"['comedy', 'family', 'action', 'animation', 'european']",tt0213363,7.4
ts22039,H,SHOW,1998,TV-MA,['comedy'],tt0173554,7.4
tm41525,Herod's Law,MOVIE,1999,R,"['drama', 'comedy', 'crime']",tt0221344,7.8
tm7951,Tim Allen: Rewires America,MOVIE,1991,PG,"['comedy', 'documentation']",tt0294967,5.9
ts21684,Heartbreak High,SHOW,1994,TV-MA,"['drama', 'romance', 'comedy']",tt0108800,7.8
tm55100,Dil Se..,MOVIE,1998,PG-13,"['drama', 'romance']",tt0164538,7.5
ts224786,Escalona,SHOW,1991,TV-MA,['drama'],,
tm204173,Aashik Aawara,MOVIE,1993,,"['romance', 'comedy', 'drama']",tt0106206,4.7
tm191614,Destiny,MOVIE,1997,,"['drama', 'romance', 'comedy', 'history']",tt0119629,7.1
tm8859,Oh Darling! Yeh Hai India!,MOVIE,1995,G,['comedy'],tt0114031,4
tm424630,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,,"['drama', 'sport']",tt0103123,7.2
tm12876,Bombay,MOVIE,1995,,"['romance', 'drama']",tt0112553,8.1
tm52083,West Beirut,MOVIE,1998,PG-13,"['romance', 'war', 'comedy', 'drama', 'european']",tt0157183,7.6
tm9898,Muthu,MOVIE,1995,G,"['drama', 'comedy', 'romance', 'action']",tt0140399,7.6
tm326102,Qila,MOVIE,1998,,"['drama', 'music', 'family']",tt0286907,4.8
tm12482,Ram Jaane,MOVIE,1995,,"['action', 'drama', 'romance', 'crime']",tt0114231,5.4
tm128925,Chamatkar,MOVIE,1992,G,"['comedy', 'fantasy', 'drama', 'crime']",tt0126234,6.5
tm52871,Soldier,MOVIE,1998,,"['thriller', 'action', 'drama', 'romance']",tt0211634,6.2
ts28516,Okupas,SHOW,2000,TV-MA,"['crime', 'drama']",tt0289649,9
tm62385,Hum Saath Saath Hain,MOVIE,1999,G,"['fantasy', 'romance', 'family', 'drama']",tt0216817,6.2
tm184502,Kabhi Haan Kabhi Naa,MOVIE,1994,G,"['comedy', 'drama', 'music', 'romance']",tt0110222,7.6
tm7810,Nightmare in Columbia County,MOVIE,1991,,"['drama', 'crime', 'thriller']",tt0102537,5.5
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000,PG-13,"['comedy', 'romance', 'drama']",tt0222270,6.1
tm8687,Sam Kinison: Family Entertainment Hour,MOVIE,1991,,['comedy'],,
tm47530,Jeans,MOVIE,1998,,"['drama', 'romance', 'comedy']",tt0151121,6.4
tm105716,Chaahat,MOVIE,1996,G,"['drama', 'romance']",tt0172234,5.5
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994,,"['romance', 'comedy', 'drama']",tt0110076,7.5
tm189773,Maya Memsaab,MOVIE,1993,PG-13,"['romance', 'drama', 'thriller']",tt0137100,5.4
tm7032,Out of Life,MOVIE,1991,,"['war', 'drama', 'crime', 'european']",tt0102058,6.9
tm58893,Duplicate,MOVIE,1998,PG,"['comedy', 'action', 'crime', 'thriller']",tt0164550,5.5
tm340430,Govindha Govindha,MOVIE,1993,,"['drama', 'action', 'crime']",tt0192087,6.6
tm184326,Damini,MOVIE,1993,,"['drama', 'crime']",tt0106655,7.8
tm110225,English Babu Desi Mem,MOVIE,1996,PG,"['romance', 'comedy', 'drama']",tt0136153,4.5
tm34391,Before the Flying Circus,MOVIE,2000,,"['comedy', 'documentation']",tt9230920,7.3
tm21911,Sam Kinison: Live in Vegas,MOVIE,1991,,"['comedy', 'music', 'documentation']",tt0249934,6.6
tm118438,Anjaam,MOVIE,1994,,"['thriller', 'romance', 'drama']",tt0109134,6.6
tm62176,Mann,MOVIE,1999,,"['drama', 'romance']",tt0206921,6.1
tm57169,Monty Python: Live at Aspen,MOVIE,1998,,"['comedy', 'documentation']",tt0287570,7.8
tm184224,Sinbad: Afros and Bellbottoms,MOVIE,1993,PG-13,"['comedy', 'documentation']",tt0938331,7.8
tm44776,The Other,MOVIE,1999,,"['drama', 'european', 'romance']",tt0196355,5.9
tm104933,Sinbad: Son of a Preacher Man,MOVIE,1996,,"['comedy', 'documentation']",tt0938333,6.7
tm203186,Children of Shatila,MOVIE,1999,,"['documentation', 'history']",tt0243174,8.2
tm256669,Gumrah,MOVIE,1993,,"['action', 'crime', 'drama', 'thriller']",tt0107060,6.1
tm117840,The Emigrant,MOVIE,1994,,['drama'],tt0110545,6.5
tm334788,Yodha,MOVIE,1991,,"['drama', 'action']",tt0267130,4.5
tm110160,Avvai Shanmugi,MOVIE,1996,PG-13,"['drama', 'comedy']",tt0139872,7.9
tm192301,Minsara Kanavu,MOVIE,1997,G,"['comedy', 'drama', 'romance']",tt0282003,6.7
tm110766,Chronicle of a Disappearance,MOVIE,1996,,['drama'],tt0115895,6.9
tm118256,Yaar Gaddar,MOVIE,1994,,"['crime', 'action', 'drama']",tt0111780,3.6
tm64729,Sinbad: Nothin' but the Funk,MOVIE,1998,,"['comedy', 'documentation']",tt0938332,6.2
tm314602,Dushmani,MOVIE,1995,,"['romance', 'action', 'drama']",tt0112916,5
tm25389,Fiza,MOVIE,2000,,"['drama', 'romance', 'action', 'crime']",tt0248012,6
tm42397,Hello Brother,MOVIE,1999,,"['romance', 'action', 'comedy', 'fantasy']",tt0233856,4.6
tm210754,Have You Ever Seen Fireflies? - Theatre Play,MOVIE,1999,,"['drama', 'comedy']",,
tm449775,Shikari,MOVIE,1991,,"['drama', 'action']",tt0170416,5.9
tm255589,One Last Shot,MOVIE,1998,,[],,
ts4,Breaking Bad,SHOW,2008,TV-MA,"['drama', 'thriller', 'crime']",tt0903747,9.5
ts9,The Walking Dead,SHOW,2010,TV-MA,"['action', 'drama', 'scifi', 'thriller', 'horror']",tt1520211,8.2
ts26091,The Staircase,SHOW,2004,TV-MA,"['crime', 'documentation', 'drama']",tt0388644,7.8
ts11,Downton Abbey,SHOW,2010,TV-14,"['drama', 'romance', 'european']",tt1606375,8.7
ts21469,Grey's Anatomy,SHOW,2005,TV-14,"['drama', 'romance']",tt0413573,7.6
ts288536,The Great British Baking Show,SHOW,2010,TV-PG,"['reality', 'european']",tt1877368,8.6
ts6495,Criminal Minds,SHOW,2005,TV-14,"['thriller', 'crime', 'drama']",tt0452046,8.1
ts22337,NCIS,SHOW,2003,TV-14,"['action', 'drama', 'crime', 'thriller', 'comedy']",tt0364845,7.8
ts8308,Community,SHOW,2009,TV-PG,['comedy'],tt1439629,8.5
ts22011,Heartland,SHOW,2007,TV-PG,"['drama', 'family']",tt1094229,8.4
ts21465,Supernatural,SHOW,2005,TV-14,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",tt0460681,8.5
tm33545,Forgetting Sarah Marshall,MOVIE,2008,R,"['comedy', 'drama', 'romance']",tt0800039,7.1
tm172683,War of the Worlds,MOVIE,2005,PG-13,"['thriller', 'action', 'scifi']",tt0407304,6.5
ts17156,Arrested Development,SHOW,2003,TV-MA,['comedy'],tt0367279,8.7
ts20573,The IT Crowd,SHOW,2006,TV-14,"['comedy', 'european']",tt0487831,8.5
ts12724,30 Rock,SHOW,2006,TV-14,"['comedy', 'sport']",tt0496424,8.3
ts3371,Avatar: The Last Airbender,SHOW,2005,TV-Y7,"['scifi', 'family', 'fantasy', 'animation', 'action']",tt0417299,9.3
tm92641,Inception,MOVIE,2010,PG-13,"['scifi', 'music', 'thriller', 'action']",tt1375666,8.8
tm102740,The Other Guys,MOVIE,2010,,"['crime', 'action', 'comedy']",tt1386588,6.6
tm87484,How to Train Your Dragon,MOVIE,2010,PG,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']",tt0892769,8.1
ts20604,Friday Night Lights,SHOW,2006,TV-14,"['drama', 'sport']",tt0758745,8.7
tm39030,Casino Royale,MOVIE,2006,,"['thriller', 'action', 'european']",tt0381061,8
tm78592,Michael Clayton,MOVIE,2007,R,"['thriller', 'crime', 'drama']",tt0465538,7.2
ts21511,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']",tt1751105,7.6
ts19036,The Fairly OddParents,SHOW,2001,TV-Y7,"['scifi', 'family', 'fantasy', 'animation', 'comedy']",tt0235918,7.2
